3454867, 706699, 1879374
7568939, 558558, 1883017
6544400, 585983, 1882970
7545478, 559498, 1883064
4825091, 671397, 1879374
8703950, 540694, 1882915
3455893, 707742, 1879374
2921034, 763006, 1879374
4864392, 649147, 1879374
4117428, 713535, 1879374
19045612, 366401, 1883166
21949778, 280904, 1879374
4143588, 689297, 1879374
19033122, 343186, 1883261
3455893, 707742, 1879374
9861231, 495273, 1882946
8586660, 517565, 1883156
6565676, 581370, 1882891
2905831, 742496, 1879374
6560238, 582114, 1882926
18970418, 396522, 1881174
8651297, 537239, 1883009
4841362, 673209, 1879374
3477552, 730116, 1879374
22706143, 307790, 1882187
1973243, 792660, 1879374
2910012, 763701, 1879374
29230995, 207960, 1879421
4158262, 689621, 1879374
8585260, 516711, 1883168
3461012, 729469, 1879374
29622970, 195636, 1879374
2921424, 740818, 1879374
3477552, 730116, 1879374
4841681, 671650, 1879374
2885837, 741270, 1879374
2919766, 740649, 1879374
2424808, 788842, 1879374
7553002, 559833, 1883066
4143588, 689297, 1879374
5626593, 628715, 1879374
6614034, 583111, 1882747
22780258, 307694, 1882069
8703950, 540694, 1882915
6618114, 583280, 1882735
8665576, 516055, 1882981
18060544, 377760, 1881080
4845649, 671658, 1879374
7545478, 559498, 1883064
4828639, 672059, 1879374
6520793, 607385, 1879374
19374876, 340397, 1883009
21583474, 335442, 1882820
8684216, 517716, 1882935
6565742, 581395, 1882894
6544400, 585983, 1882970
13730528, 409680, 1881835
6575312, 581099, 1882876
7553002, 559833, 1883066
29623464, 195634, 1879374
4872243, 649368, 1879374
21583474, 335442, 1882820
4826072, 671467, 1879374
2414878, 768686, 1879374
26052884, 264029, 1880557
3476660, 729629, 1879374
4152815, 711682, 1879374
8611069, 517814, 1883127
19444476, 339242, 1882783
7435707, 561208, 1883324
19998985, 334308, 1882565
2891659, 763431, 1879374
12511397, 432593, 1882999
26007337, 260294, 1880722
2904675, 764415, 1879374
9875301, 496414, 1882923
2919766, 740649, 1879374
2921424, 740818, 1879374
15098148, 413156, 1883442
4140824, 668477, 1879374
8620975, 538816, 1883103
4157320, 690276, 1879374
27719918, 240533, 1879813
12222424, 457276, 1884383
9805174, 516828, 1883054
4129268, 712012, 1879374
16679190, 371288, 1882316
4152815, 711682, 1879374
1973243, 792660, 1879374
19045612, 366401, 1883166
6534205, 582147, 1882989
11042350, 473960, 1883145
9866296, 493061, 1882967
16078253, 428017, 1882628
3484281, 728835, 1879374
22780258, 307694, 1882069
3487870, 728333, 1879374
12450171, 430355, 1883114
21993313, 341813, 1882415
8471516, 519699, 1883404
7601754, 539482, 1882933
19033122, 343186, 1883261
5630320, 628664, 1879374
1618600, 813950, 1879374
8611069, 517814, 1883127
4140824, 668477, 1879374
8623678, 538176, 1883079
5662701, 628403, 1879374
9773756, 516951, 1883135
5645013, 628651, 1879374
2414894, 768757, 1879374
5681384, 606237, 1879374
4116913, 713310, 1879374
3485897, 707572, 1879374
18364522, 355694, 1882267
9774022, 495873, 1883146
9842646, 493165, 1882994
8664875, 515043, 1882997
4142033, 711423, 1879374
16859439, 368164, 1882135
4140717, 689788, 1879374
9842646, 493165, 1882994
6560238, 582114, 1882926
3471329, 751419, 1879374
4132338, 690718, 1879374
16679190, 371288, 1882316
5701601, 627968, 1879374
3485085, 728514, 1879374
2912000, 784733, 1879374
2891174, 763608, 1879374
22915346, 297744, 1882075
19426745, 341014, 1882915
4131422, 690589, 1879374
5626103, 627931, 1879374
4823594, 672267, 1879374
2888861, 763958, 1879374
7520379, 560503, 1883163
4153742, 711845, 1879374
4875122, 669735, 1879374
12556609, 453689, 1882930
12556609, 453689, 1882930
5630320, 628664, 1879374
24386084, 285730, 1881357
17423497, 363181, 1882961
5626601, 629261, 1879374
8586683, 517430, 1883166
2891659, 763431, 1879374
8651297, 537239, 1883009
6616740, 583425, 1882741
8627599, 537915, 1883075
7518847, 563703, 1883144
3485897, 707572, 1879374
8691474, 518515, 1882924
7603194, 560725, 1882925
17209079, 387801, 1883164
2905831, 742496, 1879374
19444476, 339242, 1882783
21952000, 280826, 1879374
4845649, 671658, 1879374
29791000, 194418, 1879374
5656510, 607858, 1879374
12541854, 431044, 1882936
17543464, 378471, 1881634
29722686, 194914, 1879374
1983417, 813707, 1879374
5637262, 629065, 1879374
2398090, 768361, 1879374
8620975, 538816, 1883103
6614034, 583111, 1882747
19426745, 341014, 1882915
5644353, 629651, 1879374
4101694, 691904, 1879374
6616740, 583425, 1882741
6535897, 607368, 1879374
4854339, 671321, 1879374
4126953, 712523, 1879374
1993720, 791677, 1879374
7614137, 540302, 1882897
12450171, 430355, 1883114
5713765, 607849, 1879374
17209079, 387801, 1883164
4117428, 713535, 1879374
2904461, 764149, 1879374
4874980, 648164, 1879374
21517355, 298955, 1882589
12338162, 456582, 1883268
18555744, 357389, 1881100
8665576, 516055, 1882981
4157320, 690276, 1879374
2925040, 762181, 1879374
2887353, 784046, 1879374
2426835, 767133, 1879374
13896160, 409587, 1883166
7599879, 560162, 1882927
4123038, 691511, 1879374
18060544, 377760, 1881080
2909583, 785013, 1879374
12541854, 431044, 1882936
2392081, 768547, 1879374
5713996, 608939, 1879374
18970418, 396522, 1881174
4848281, 648713, 1879374
5692222, 627402, 1879374
3489644, 707227, 1879374
2910012, 763701, 1879374
12453405, 453966, 1883096
3454284, 729620, 1879374
4131422, 690589, 1879374
4836720, 671742, 1879374
29623464, 195634, 1879374
7564037, 558929, 1883032
21952000, 280826, 1879374
9861231, 495273, 1882946
4153742, 711845, 1879374
18364522, 355694, 1882267
